Guest,Gast
"Please log in to change the language.","Bitte melden Sie sich an, um die Sprache zu ändern."
Language {0} is not available.,Die Sprache {0} ist nicht verfügbar.
"A customer can only be set on external tickets.","Ein Kunde kann nur bei externen Tickets gesetzt werden."
Invalid customer,Ungültiger Kunde
"No department could be determined for this ticket. Set a department on the ticket, on the email account, or configure a default department in Ticket Billing Settings.","Für dieses Ticket konnte keine Abteilung ermittelt werden. Tragen Sie eine Abteilung am Ticket oder am Postfach ein, oder hinterlegen Sie eine Standardabteilung in den Ticket-Billing-Einstellungen."
No department could be determined.,Es konnte keine Abteilung ermittelt werden.
Department missing,Abteilung fehlt
Only the department lead can reassign a ticket.,Nur die Abteilungsleitung kann ein Ticket umverteilen.
Not allowed,Nicht erlaubt
{0} is not a member of department {1}.,{0} gehört nicht zur Abteilung {1}.
Invalid assignment,Ungültige Zuweisung
Invalid origin {0}.,Ungültige Herkunft {0}.
You are not allowed to access department {0}.,Sie haben keinen Zugriff auf die Abteilung {0}.
This evaluation is restricted to management.,Diese Auswertung ist der Geschäftsführung vorbehalten.
"Unknown assignment strategy {0}. Available: {1}","Unbekannte Zuweisungsregel {0}. Verfügbar: {1}"
"A timer is already running for ticket {0}. Stop it first.","Für Ticket {0} läuft bereits ein Timer. Beenden Sie ihn zuerst."
Timer already running,Timer läuft bereits
Your user account is not linked to an employee record.,Ihr Benutzerkonto ist mit keinem Mitarbeiterdatensatz verknüpft.
No employee record,Kein Mitarbeiterdatensatz
The recorded duration must be greater than zero.,Die erfasste Dauer muss größer als null sein.
No timer is running.,Es läuft kein Timer.
Nothing to stop,Nichts zu beenden
"The timer has been running for less than a minute. Keep working, or discard it.","Der Timer läuft seit weniger als einer Minute. Arbeiten Sie weiter, oder verwerfen Sie ihn."
Too short to record,Zu kurz für eine Buchung
Automatic assignment,Automatische Zuweisung
Assign tickets automatically,Tickets automatisch zuweisen
"If assignment is off, new tickets stay unassigned and the department lead distributes them manually.","Ist die Zuweisung aus, bleiben neue Tickets unzugewiesen und die Abteilungsleitung verteilt sie von Hand."
Assignment strategy,Zuweisungsregel
"Key of a registered strategy, e.g. by_workload. See ticket_billing/assignment/strategies/ for available ones.","Schlüssel einer registrierten Regel, z. B. by_workload. Verfügbare Regeln siehe ticket_billing/assignment/strategies/."
Default department,Standardabteilung
"Department for tickets that could not be routed — for example from a mailbox without a department.","Abteilung für Tickets, denen keine zugeordnet werden konnte — etwa aus einem Postfach ohne hinterlegte Abteilung."
